name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,01-01-22,31.4,22.7,26.6,32.2,22.7,27,17.7,59,0,,0,,,,,14.8,139.7,1015.7,22,2.9,,,0,,2022-01-01T07:11:49,2022-01-01T18:12:33,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,02-01-22,31.1,22.7,27,32.8,22.7,27.7,18.7,61.67,0,,0,,,,,17.2,158.4,1014.1,12.6,2.6,,,0,,2022-01-02T07:12:09,2022-01-02T18:13:10,1,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,03-01-22,31.7,23.3,27.2,32.9,23.3,27.9,18.9,61.88,0,,0,,,,,16.7,137,1013.7,19.1,2.8,,,0,,2022-01-03T07:12:28,2022-01-03T18:13:47,0,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,04-01-22,31,23.3,27.1,32.8,23.3,27.9,19.4,63.52,0,,0,,,,,15.4,152.6,1013.6,0,2.6,,,0,,2022-01-04T07:12:45,2022-01-04T18:14:24,0.02,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,05-01-22,30.4,23.4,26.5,32,23.4,27.4,21,72.93,0,,0,,,,,14.9,155.7,1013.2,0.8,2.1,,,0,,2022-01-05T07:13:02,2022-01-05T18:15:02,0.05,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,06-01-22,28.7,23.2,25.7,30.1,23.2,26.2,20.5,73.99,0,,0,,,,,18.7,205.3,1012.8,8.2,2.5,,,0,,2022-01-06T07:13:18,2022-01-06T18:15:40,0.09,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,07-01-22,28.8,22.2,25.5,31,22.2,26.3,20.6,74.76,0,,0,,,,,18.7,144.4,1012.2,1.6,2.3,,,0,,2022-01-07T07:13:32,2022-01-07T18:16:18,0.14,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,08-01-22,26.7,22.9,24.3,28.2,22.9,24.4,20.8,81.28,4.8,,8.33,,,,,17.8,203.9,1013.3,68.7,2.5,,,0,,2022-01-08T07:13:45,2022-01-08T18:16:56,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,09-01-22,26,19.5,23.1,26,19.5,23.1,13,55.05,1,,4.17,,,,,19,253.8,1013.6,37.6,3.5,,,0,,2022-01-09T07:13:57,2022-01-09T18:17:35,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,10-01-22,24.7,16.3,20.9,24.7,16.3,20.9,10.2,51.02,0,,0,,,,31.7,21.7,180.4,1013.6,2.8,3.3,,,0,,2022-01-10T07:14:08,2022-01-10T18:18:13,0.28,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,11-01-22,25.7,17.7,22,25.7,17.7,22,14.6,63.5,0,,0,,,,,15.4,198.9,1013.4,7.6,2.6,,,0,,2022-01-11T07:14:18,2022-01-11T18:18:52,0.33,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,12-01-22,26,18,22,26,18,22,14,61.14,0,,0,,,,,14.8,215.3,1012.9,0,2.8,,,0,,2022-01-12T07:14:26,2022-01-12T18:19:31,0.38,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,13-01-22,26.7,18.3,22.8,27.2,18.3,22.8,16.6,68.88,0,,0,,,,,14.8,176.9,1011.9,28,2.6,,,0,,2022-01-13T07:14:33,2022-01-13T18:20:09,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,14-01-22,27,20.4,23.7,28,20.4,23.9,17.7,69.9,0,,0,,,,,17.2,221.8,1011.9,25.7,2.4,,,0,,2022-01-14T07:14:39,2022-01-14T18:20:48,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,15-01-22,29.4,20.5,24.5,29.2,20.5,24.6,17.2,65.56,0,,0,,,,,15.5,145.2,1012.6,9.3,2.7,,,0,,2022-01-15T07:14:44,2022-01-15T18:21:27,0.47,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,16-01-22,31.7,21.3,26.1,31.2,21.3,26.2,16,55.02,0,,0,,,,,15.4,97.7,1013.1,8.4,2.9,,,0,,2022-01-16T07:14:48,2022-01-16T18:22:05,0.49,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,17-01-22,30.4,23,26.7,31.9,23,27.4,18,59.55,0,,0,,,,,14.8,190.9,1014.9,5.6,2.9,,,0,,2022-01-17T07:14:50,2022-01-17T18:22:44,0.5,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,18-01-22,30,21.8,26.2,31.9,21.8,26.7,18,61.92,0,,0,,,,,19.8,163,1014.7,0,2.6,,,0,,2022-01-18T07:14:51,2022-01-18T18:23:22,0.5,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,19-01-22,29.5,20.6,25.3,30.3,20.6,25.5,16.3,58.29,0,,0,,,,,16.6,187.3,1013.3,0,2.7,,,0,,2022-01-19T07:14:50,2022-01-19T18:24:00,0.52,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,20-01-22,27.9,20.4,24.7,29.6,20.4,24.9,16.1,59.54,0,,0,,,,,18.7,247.9,1011.5,4.5,2.9,,,0,,2022-01-20T07:14:49,2022-01-20T18:24:38,0.53,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,21-01-22,27.7,21.3,24.5,29.7,21.3,24.9,19.4,73.58,0,,0,,,,,19.4,164.4,1011.5,12,3,,,0,,2022-01-21T07:14:46,2022-01-21T18:25:16,0.56,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,22-01-22,28,21.2,24.6,30.5,21.2,25.2,20.4,78.38,0.4,,4.17,,,,31.7,22.3,180,1010.1,55.3,2.9,,,0,,2022-01-22T07:14:42,2022-01-22T18:25:54,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,23-01-22,25,20.8,22.8,25,20.8,22.8,13.6,56.7,0,,0,,,,,22.3,266.4,1011.1,79,2.3,,,0,,2022-01-23T07:14:36,2022-01-23T18:26:31,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,24-01-22,23.2,17,20.4,23.2,17,20.4,5.8,39.59,0,,0,,,,,22.3,182.4,1012.2,16.2,2.9,,,0,,2022-01-24T07:14:30,2022-01-24T18:27:08,0.7,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,25-01-22,26.7,15.3,21.3,26.5,15.3,21.3,9.5,47.97,0,,0,,,,,13.5,135.6,1011.7,4.8,2.7,,,0,,2022-01-25T07:14:22,2022-01-25T18:27:44,0.75,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,26-01-22,27.4,17.3,22.6,27.2,17.3,22.5,11.5,50.54,0,,0,,,,,19.3,127.5,1011.5,0,2.5,,,0,,2022-01-26T07:14:12,2022-01-26T18:28:21,0.81,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,27-01-22,30,19.3,24.1,29,19.3,23.9,12.9,51.33,0,,0,,,,,17,119.2,1011.9,0.4,2.8,,,0,,2022-01-27T07:14:02,2022-01-27T18:28:57,0.86,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,28-01-22,31.4,21.5,25.6,29.7,21.5,25.2,10.5,40.03,0,,0,,,,,16.6,117.2,1013,3.9,3.2,,,0,,2022-01-28T07:13:50,2022-01-28T18:29:32,0.91,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,29-01-22,30.6,20.3,25.6,29.3,20.3,25.2,10.1,39.1,0,,0,,,,,18.4,143.3,1014,0,3.2,,,0,,2022-01-29T07:13:37,2022-01-29T18:30:07,0.95,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,30-01-22,30.7,18.7,25.3,31,18.7,25.2,12.5,46.16,0,,0,,,,,14.9,116,1012.6,0,3.3,,,0,,2022-01-30T07:13:23,2022-01-30T18:30:42,0.98,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,31-01-22,29.6,19.7,24.6,29.3,19.7,24.5,13.8,52.47,0,,0,,,,,16,123.6,1011.9,0,3,,,0,,2022-01-31T07:13:08,2022-01-31T18:31:17,1,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,01-02-22,29,16.7,23.5,29,16.7,23.5,14.3,57.52,0,,0,,,,,17.2,173.3,1011.1,0,2.9,,,0,,2022-02-01T07:12:51,2022-02-01T18:31:50,0,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,02-02-22,28,18.4,23.7,28.8,18.4,24,17.7,70.04,0,,0,,,,,22.3,175.9,1011.2,0,2.9,,,0,,2022-02-02T07:12:33,2022-02-02T18:32:24,0.01,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999"
mumbai,03-02-22,27.4,19.9,24.1,28.4,19.9,24.3,19.6,77.04,0,,0,,,,,16.6,187.6,1010.9,32.1,2.8,,,0,,2022-02-03T07:12:14,2022-02-03T18:32:57,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ"
mumbai,04-02-22,26.9,21.4,24.6,26.9,21.4,24.6,14.5,54.97,0,,0,,,,,17.4,271.3,1010.6,41.7,3.4,,,0,,2022-02-04T07:11:54,2022-02-04T18:33:29,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ"
mumbai,05-02-22,26.9,19.4,23.5,26.8,19.4,23.5,12.6,51.48,0,,0,,,,,16.5,162.6,1011.2,,3.4,,,0,,2022-02-05T07:11:33,2022-02-05T18:34:01,0.11,Clear,Partly cloudy throughout the day.,clear-day,"VABB,VAJJ"
mumbai,06-02-22,28.9,19.9,24.4,28.6,19.9,24.5,15.5,58.9,0,,0,,,,,17.4,211.9,1012.7,,3.2,,,0,,2022-02-06T07:11:10,2022-02-06T18:34:33,0.15,Clear,Partly cloudy throughout the day.,clear-day,"VABB,VAJJ"
